"24111";"24111000";"1"	
"24112";"24111000";"0"	
"24113";"24111000";"0"	
"24111";"24111001";"1"	
"24112";"24111001";"0"	
"24113";"24111001";"0"	
"24111";"24111002";"1"	
"24112";"24111002";"0"	
"24113";"24111002";"0"	
"24111";"24111003";"1"	
"24112";"24111003";"0"	
"24113";"24111003";"0"	
"24111";"24111004";"1"	
"24112";"24111004";"0"	
"24113";"24111004";"0"	
"24111";"24111005";"1"	
"24112";"24111005";"0"	
"24113";"24111005";"0"	
"24111";"24111006";"1"	
"24112";"24111006";"0"	
"24113";"24111006";"0"	
"24111";"24111007";"1"	
"24112";"24111007";"0"	
"24113";"24111007";"0"	
"24111";"24111008";"1"	
"24112";"24111008";"0"	
"24113";"24111008";"0"	
"24111";"24111009";"1"	
"24112";"24111009";"0"	
"24113";"24111009";"0"	
"24111";"24111010";"1"	
"24112";"24111010";"0"	
"24113";"24111010";"0"	
"24111";"24111011";"1"	
"24112";"24111011";"0"	
"24113";"24111011";"0"	
"24111";"24111012";"1"	
"24112";"24111012";"0"	
"24113";"24111012";"0"	
"24111";"24111013";"1"	
"24112";"24111013";"0"	
"24113";"24111013";"0"	
"24111";"24111014";"1"	
"24112";"24111014";"0"	
"24113";"24111014";"0"	
"24111";"24111015";"1"	
"24112";"24111015";"0"	
"24113";"24111015";"0"	
"24111";"24111016";"1"	
"24112";"24111016";"0"	
"24113";"24111016";"0"	
"24111";"24111017";"1"	
"24112";"24111017";"0"	
"24113";"24111017";"0"	
"24111";"24111018";"1"	
"24112";"24111018";"0"	
"24113";"24111018";"0"	
"24111";"24111019";"1"	
"24112";"24111019";"0"	
"24113";"24111019";"0"	
"24111";"24111020";"1"	
"24112";"24111020";"0"	
"24113";"24111020";"0"	
"24111";"24111021";"1"	
"24112";"24111021";"0"	
"24113";"24111021";"0"	
"24111";"24111022";"1"	
"24112";"24111022";"0"	
"24113";"24111022";"0"	
"24111";"24111023";"1"	
"24112";"24111023";"0"	
"24113";"24111023";"0"	
"24111";"24111024";"1"	
"24112";"24111024";"0"	
"24113";"24111024";"0"	
"24111";"24111025";"1"	
"24112";"24111025";"0"	
"24113";"24111025";"0"	
"24111";"24111026";"1"	
"24112";"24111026";"0"	
"24113";"24111026";"0"	
"24111";"24111027";"1"	
"24112";"24111027";"0"	
"24113";"24111027";"0"	
"24111";"24111028";"1"	
"24112";"24111028";"0"	
"24113";"24111028";"0"	
"24111";"24111029";"1"	
"24112";"24111029";"0"	
"24113";"24111029";"0"	
"24111";"24111030";"1"	
"24112";"24111030";"0"	
"24113";"24111030";"0"	
"24111";"24111031";"1"	
"24112";"24111031";"0"	
"24113";"24111031";"0"	
"24111";"24111032";"1"	
"24112";"24111032";"0"	
"24113";"24111032";"0"	
"24111";"24111033";"1"	
"24112";"24111033";"0"	
"24113";"24111033";"0"	
"24111";"24111034";"1"	
"24112";"24111034";"0"	
"24113";"24111034";"0"	
"24111";"24111035";"1"	
"24112";"24111035";"0"	
"24113";"24111035";"0"	
"24111";"24111036";"1"	
"24112";"24111036";"0"	
"24113";"24111036";"0"	
"24111";"24111037";"1"	
"24112";"24111037";"0"	
"24113";"24111037";"0"	
"24111";"24111038";"1"	
"24112";"24111038";"0"	
"24113";"24111038";"0"	
"24111";"24111039";"1"	
"24112";"24111039";"0"	
"24113";"24111039";"0"	
"24111";"24111040";"1"	
"24112";"24111040";"0"	
