0	0	1
1	1	0
0	0	53
53	1	0
0	0	105
105	1	0
1	1	0
0	0	1
1	0	2
2	1	1
1	0	19
19	1	1
1	0	36
36	1	1
2	1	1
1	0	2
2	0	3
3	1	2
2	0	7
7	1	2
2	0	11
11	1	2
2	0	15
15	1	2
3	1	2
2	0	3
3	0	4
4	1	3
3	0	5
5	1	3
3	0	6
6	1	3
4	1	3
3	0	4
5	1	3
3	0	5
6	1	3
3	0	6
7	1	2
2	0	7
7	0	8
8	1	7
7	0	9
9	1	7
7	0	10
10	1	7
8	1	7
7	0	8
9	1	7
7	0	9
10	1	7
7	0	10
11	1	2
2	0	11
11	0	12
12	1	11
11	0	13
13	1	11
11	0	14
14	1	11
12	1	11
11	0	12
13	1	11
11	0	13
14	1	11
11	0	14
15	1	2
2	0	15
15	0	16
16	1	15
15	0	17
17	1	15
15	0	18
18	1	15
16	1	15
15	0	16
17	1	15
15	0	17
18	1	15
15	0	18
19	1	1
1	0	19
19	0	20
20	1	19
19	0	24
24	1	19
19	0	28
28	1	19
19	0	32
32	1	19
20	1	19
19	0	20
20	0	21
21	1	20
20	0	22
22	1	20
20	0	23
23	1	20
21	1	20
20	0	21
22	1	20
20	0	22
23	1	20
20	0	23
24	1	19
19	0	24
24	0	25
25	1	24
24	0	26
26	1	24
24	0	27
27	1	24
25	1	24
24	0	25
26	1	24
24	0	26
27	1	24
24	0	27
28	1	19
19	0	28
28	0	29
29	1	28
28	0	30
30	1	28
28	0	31
31	1	28
29	1	28
28	0	29
30	1	28
28	0	30
31	1	28
28	0	31
32	1	19
19	0	32
32	0	33
33	1	32
32	0	34
34	1	32
32	0	35
35	1	32
33	1	32
32	0	33
34	1	32
32	0	34
35	1	32
32	0	35
36	1	1
1	0	36
36	0	37
37	1	36
36	0	41
41	1	36
36	0	45
45	1	36
36	0	49
49	1	36
37	1	36
36	0	37
37	0	38
38	1	37
37	0	39
39	1	37
37	0	40
40	1	37
38	1	37
37	0	38
39	1	37
37	0	39
40	1	37
37	0	40
41	1	36
36	0	41
41	0	42
42	1	41
41	0	43
43	1	41
41	0	44
44	1	41
42	1	41
41	0	42
43	1	41
41	0	43
44	1	41
41	0	44
45	1	36
36	0	45
45	0	46
46	1	45
45	0	47
47	1	45
45	0	48
48	1	45
46	1	45
45	0	46
47	1	45
45	0	47
48	1	45
45	0	48
49	1	36
36	0	49
49	0	50
50	1	49
49	0	51
51	1	49
49	0	52
52	1	49
50	1	49
49	0	50
51	1	49
49	0	51
52	1	49
49	0	52
53	1	0
0	0	53
53	0	54
54	1	53
53	0	71
71	1	53
53	0	88
88	1	53
54	1	53
53	0	54
54	0	55
55	1	54
54	0	59
59	1	54
54	0	63
63	1	54
54	0	67
67	1	54
55	1	54
54	0	55
55	0	56
56	1	55
55	0	57
57	1	55
55	0	58
58	1	55
56	1	55
55	0	56
57	1	55
55	0	57
58	1	55
55	0	58
59	1	54
54	0	59
59	0	60
60	1	59
59	0	61
61	1	59
59	0	62
62	1	59
60	1	59
59	0	60
61	1	59
59	0	61
62	1	59
59	0	62
63	1	54
54	0	63
63	0	64
64	1	63
63	0	65
65	1	63
63	0	66
66	1	63
64	1	63
63	0	64
65	1	63
63	0	65
66	1	63
63	0	66
67	1	54
54	0	67
67	0	68
68	1	67
67	0	69
69	1	67
67	0	70
70	1	67
68	1	67
67	0	68
69	1	67
67	0	69
70	1	67
67	0	70
71	1	53
53	0	71
71	0	72
72	1	71
71	0	76
76	1	71
71	0	80
80	1	71
71	0	84
84	1	71
72	1	71
71	0	72
72	0	73
73	1	72
72	0	74
74	1	72
72	0	75
75	1	72
73	1	72
72	0	73
74	1	72
72	0	74
75	1	72
72	0	75
76	1	71
71	0	76
76	0	77
77	1	76
76	0	78
78	1	76
76	0	79
79	1	76
77	1	76
76	0	77
78	1	76
76	0	78
79	1	76
76	0	79
80	1	71
71	0	80
80	0	81
81	1	80
80	0	82
82	1	80
80	0	83
83	1	80
81	1	80
80	0	81
82	1	80
80	0	82
83	1	80
80	0	83
84	1	71
71	0	84
84	0	85
85	1	84
84	0	86
86	1	84
84	0	87
87	1	84
85	1	84
84	0	85
86	1	84
84	0	86
87	1	84
84	0	87
88	1	53
53	0	88
88	0	89
89	1	88
88	0	93
93	1	88
88	0	97
97	1	88
88	0	101
101	1	88
89	1	88
88	0	89
89	0	90
90	1	89
89	0	91
91	1	89
89	0	92
92	1	89
90	1	89
89	0	90
91	1	89
89	0	91
92	1	89
89	0	92
93	1	88
88	0	93
93	0	94
94	1	93
93	0	95
95	1	93
93	0	96
96	1	93
94	1	93
93	0	94
95	1	93
93	0	95
96	1	93
93	0	96
97	1	88
88	0	97
97	0	98
98	1	97
97	0	99
99	1	97
97	0	100
100	1	97
98	1	97
97	0	98
99	1	97
97	0	99
100	1	97
